"PEAK_TIME","AREA.x","SITE","MONTH","TIME","LINE","DATE_HPLC","ROW","PPCP","AREA.y","AREA","CONCENTRATION"
2.68702030181885,2501.48022460938,"BD","JULY","30","LINEF","20181008","ROW2","acetaminophen",121135.515625,-118634.035400391,NA
2.69528698921204,2758.8037109375,"BO",NA,"24","LINED","20181008","ROW2","acetaminophen",54103.9921875,-51345.1884765625,NA
2.67088675498963,3325.00732421875,"FI","JULY","20","LINEC","20181008","ROW2","acetaminophen",99998.09375,-96673.0864257812,NA
2.68750166893006,58000.10546875,"SA","SEPTEMBER","15","LINEC","20181008","ROW2","acetaminophen",99998.09375,-41997.98828125,NA
9.19707489013672,1837.91711425781,"BB","AUGUST","12","P2LINEB","20181008","ROW4","caffeine",0,1837.91711425781,0.642306526303735
9.30761432647705,1194.08117675781,"BB","AUGUST","29","P2LINEB","20181008","ROW4","caffeine",0,1194.08117675781,0.368384237528263
9.04167747497559,2731.37548828125,"BB","JULY","20","LINEB","20181008","ROW4","caffeine",0,2731.37548828125,1.07038964475732
8.99490547180176,2754.57275390625,"BB",NA,"24","LINEB","20181008","ROW4","caffeine",0,2754.57275390625,1.08212297371381
9.14279747009278,1778.48474121094,"BB","SEPTEMBER","14","P2LINEA","20181008","ROW4","caffeine",0,1778.48474121094,0.615657526908209
9.37480449676514,1167.97985839844,"BD","JULY","01","LINEE","20181008","ROW4","caffeine",0,1167.97985839844,0.358036626316655
9.05202865600586,2923.96728515625,"BD","JULY","30","LINEF","20181008","ROW4","caffeine",0,2923.96728515625,1.1686602592279
8.99168300628662,4311.4677734375,"BD",NA,"24","LINEF","20181008","ROW4","caffeine",0,4311.4677734375,1.92797398305697
8.9811372756958,1854.92236328125,"BD","SEPTEMBER","14","P2LINEA","20181008","ROW4","caffeine",0,1854.92236328125,0.64997785859996
9.33952236175537,2506.64624023438,"BD","SEPTEMBER","20","P2LINEB","20181008","ROW4","caffeine",0,2506.64624023438,0.958236827976304
8.97043800354004,3578.44653320313,"BD",NA,"XXXX","P2LINEA","20181008","ROW4","caffeine",0,3578.44653320313,1.51625477998442
9.10435295104981,1877.830078125,"BO","AUGUST","11","P2LINEA","20181008","ROW4","caffeine",0,1877.830078125,0.660344047957945
9.04252338409424,3043.72143554688,"BO",NA,"24","LINED","20181008","ROW4","caffeine",0,3043.72143554688,1.23072397823889
9.22896194458008,2671.1376953125,"BO","SEPTEMBER","14","P2LINEC","20181008","ROW4","caffeine",0,2671.1376953125,1.04005579039613
8.97179031372071,2344.35473632813,"BO","SEPTEMBER","24","LINEB","20181008","ROW4","caffeine",0,2344.35473632813,0.879019690641915
9.10996341705322,6726.560546875,"DA","AUGUST","14","P2LINEA","20181008","ROW4","caffeine",0,6726.560546875,3.42071671051844
9.21428012847901,3808.72802734375,"DA","JULY","30","P2LINEC","20181008","ROW4","caffeine",0,3808.72802734375,1.64319254663853
9.11231803894043,11649.341796875,"DA","JUNE","11","LINEF","20181008","ROW4","caffeine",0,11649.341796875,6.94355905341699
8.90775203704834,12750.2744140625,"DA","JUNE","29","LINEB","20181008","ROW4","caffeine",0,12750.2744140625,7.80079544089762
9.32903099060059,31015.13671875,"DA",NA,"25","LINED","20181008","ROW4","caffeine",0,31015.13671875,24.5362215310502
9.17304992675781,9120.8232421875,"DA","SEPTEMBER","01","P2LINEC","20181008","ROW4","caffeine",0,9120.8232421875,5.06513636487472
8.95887184143067,4493.078125,"DA","SEPTEMBER","30","LINEB","20181008","ROW4","caffeine",0,4493.078125,2.03329607796183
9.26612377166748,2388.75610351563,"DU","AUGUST","12","P2LINEB","20181008","ROW4","caffeine",0,2388.75610351563,0.900539872117814
9.15655040740967,4140.68359375,"DU","JULY","01","LINEF","20181008","ROW4","caffeine",0,4140.68359375,1.8300930850975
9.40223407745362,3371.4990234375,"DU","JULY","26","LINEE","20181008","ROW4","caffeine",0,3371.4990234375,1.40417363005833
9.51099491119385,7745.17431640625,"DU","JUNE","11","LINEE","20181008","ROW4","caffeine",0,7745.17431640625,4.10260973832002
9.03484630584717,4863.3583984375,"DU",NA,"24","LINEB","20181008","ROW4","caffeine",0,4863.3583984375,2.25183368256094
9.0825309753418,2703.736328125,"DU",NA,"02","LINEC","20181008","ROW4","caffeine",0,2703.736328125,1.05644715890031
9.4169864654541,4005.36596679688,"DU2","JULY","26","LINEE","20181008","ROW4","caffeine",0,4005.36596679688,1.7533613639621
9.02895736694336,1873.17224121094,"FI","AUGUST","14","P2LINEB","20181008","ROW4","caffeine",0,1873.17224121094,0.658233308758471
8.93279361724854,8598.783203125,"FI","AUGUST","29","P2LINEB","20181008","ROW4","caffeine",0,8598.783203125,4.69454574979822
8.98062992095948,6977.71435546875,"FI","JULY","20","LINEC","20181008","ROW4","caffeine",0,6977.71435546875,3.58624547171215
9.28422927856446,1380.56237792969,"FI",NA,"24","LINEE","20181008","ROW4","caffeine",0,1380.56237792969,0.444164631685761
9.13185787200928,3965.20825195313,"FLBS","AUGUST","18","LINEF","20181008","ROW4","caffeine",0,3965.20825195313,1.73073269627172
9.28845500946045,1393.67858886719,"FLBS","JULY","27","LINED","20181008","ROW4","caffeine",0,1393.67858886719,0.449611955700489
9.3255729675293,2599.6044921875,"FLBS",NA,"24","LINEE","20181008","ROW4","caffeine",0,2599.6044921875,1.00429024728358
9.22090721130371,1323.2568359375,"FLBS","SEPTEMBER","01","P2LINEA","20181008","ROW4","caffeine",0,1323.2568359375,0.420541544026235
9.18792247772217,4274.740234375,"FLBS","SEPTEMBER","14","P2LINEC","20181008","ROW4","caffeine",0,4274.740234375,1.90682819861063
9.24086856842041,8499.1552734375,"FLBS","SEPTEMBER","29","P2LINEC","20181008","ROW4","caffeine",0,8499.1552734375,4.62454546141751
9.13587951660156,2872.79638671875,"HO","AUGUST","20","LINEF","20181008","ROW4","caffeine",0,2872.79638671875,1.14236204358573
9.00991535186768,2909.07592773438,"HO","JULY","21","LINEB","20181008","ROW4","caffeine",0,2909.07592773438,1.16099332072582
9.12371635437012,1389.62109375,"HO","JUNE","29","LINEC","20181008","ROW4","caffeine",0,1389.62109375,0.447925237811817
9.09197807312012,10441.2880859375,"HO",NA,"25","LINED","20181008","ROW4","caffeine",0,10441.2880859375,6.0295945946037
9.05203151702881,1688.43212890625,"HO","SEPTEMBER","30","LINEB","20181008","ROW4","caffeine",0,1688.43212890625,0.575769028823613
9.07525157928467,9632.5869140625,"HO1",NA,"25","LINED","20181008","ROW4","caffeine",0,9632.5869140625,5.43443842176595
9.01258087158203,4996.54248046875,"LK","AUGUST","21","P2LINEA","20181008","ROW4","caffeine",0,4996.54248046875,2.33164223049994
9.36672878265381,1329.97229003906,"LK","JULY","30","P2LINEB","20181008","ROW4","caffeine",0,1329.97229003906,0.423294824269434
9.16261100769043,30942.810546875,"LK",NA,"25","LINEF","20181008","ROW4","caffeine",0,30942.810546875,24.4624862874974
9.14019203186035,2359.04150390625,"SA","AUGUST","14","P2LINEB","20181008","ROW4","caffeine",0,2359.04150390625,0.886125052626576
9.06105422973633,6398.6640625,"SA","JULY","11","LINEC","20181008","ROW4","caffeine",0,6398.6640625,3.20729164139417
9.08910179138184,3582.57348632813,"SA",NA,"23","LINEC","20181008","ROW4","caffeine",0,3582.57348632813,1.51850939154067
9.08904075622559,2262.91772460938,"SA",NA,"24","LINEC","20181008","ROW4","caffeine",0,2262.91772460938,0.839855909939564
