"","Df","SumOfSqs","R2","F","Pr(>F)"
"stt",1,0.127413261967082,0.0464512022435038,1.55419563474979,0.1618
"tourist_season",1,0.158163539080031,0.0576618668098536,1.92928960627561,0.1066
"Residual",30,2.45940586471138,0.896628478518062,NA,NA
"Total",32,2.74294863885682,1,NA,NA
