"tourist_season","mean_conc_centralized","mean_conc_decentralized","sd_conc_centralized","sd_conc_decentralized","cv_conc_centralized","cv_conc_decentralized"
"In Season",0.0176453190562258,0.020640793702815,0.00363351583905582,0.00461893524352364,0.205919531830387,0.223777017009462
"Out of Season",0.0163834642096978,0.0154888977261343,0.0104945902264851,0.0041205684211356,0.640559901871857,0.266033677411595
