"","sum_sq","df","f_value","pr_f"
"stt",0.211518691028629,1,1.46862256653503,0.237359711266493
"tourist_season",0.0153994926555505,1,0.106922193576127,0.746510594401133
"stt:tourist_season",0.0270797140832042,1,0.188020637819319,0.668441857792333
"Residuals",3.45660532553583,24,NA,NA
