"","sum_sq","df","f_value","pr_f"
"stt",6.94922661041708e-05,1,0.0459284969834347,0.831805633563367
"tourist_season",0.00153660896738973,1,1.01556826795208,0.321907548735255
"stt:tourist_season",0.000376059724125875,1,0.248543598782857,0.621862827035061
"Residuals",0.0438785470760738,29,NA,NA
