"","sum_sq","df","f_value","pr_f"
"stt",6.32749161972798e-05,1,0.0701387796146015,0.793008167382328
"tourist_season",0.0185107886939258,1,20.5187806910368,9.3514579278957e-05
"stt:tourist_season",0.00145962803537152,1,1.61796388276557,0.213481820910958
"Residuals",0.0261620259121119,29,NA,NA
