"taxon","tourist_season","mean_prop_centralized","mean_prop_decentralized","sd_prop_centralized","sd_prop_decentralized","cv_prop_centralized","cv_prop_decentralized"
"chlorophyta","In Season",0.311931909895873,0.251316073920493,0.15898540667699,0.105724394975309,0.509679842405547,0.420682980304539
"chlorophyta","Out of Season",0.231586176257193,0.179992070743328,0.133751173548975,0.123247202226263,0.577543857369252,0.684736842669116
"cyanobacteria","In Season",0.0340508967155363,0.0782256614178938,0.00989630339992219,0.0470140309662393,0.29063268091283,0.601005221484583
"cyanobacteria","Out of Season",0.0577030572773553,0.0954878491877981,0.0193724813941623,0.0414013878661539,0.335727122759658,0.43357755168125
"diatom","In Season",0.626630622869018,0.655744590686051,0.176362803425886,0.118184073625219,0.281446193322649,0.180228819732349
"diatom","Out of Season",0.69345497225572,0.704917054133679,0.171154937321911,0.0938778892552997,0.246814781304641,0.133175795229799
