"","sum_sq","df","f_value","pr_f"
"stt",0.289971462674995,1,0.648618533690337,0.427911314561872
"tourist_season",1.75036617248077,1,3.91528162717216,0.0585332162330395
"stt:tourist_season",0.931929384340645,1,2.08457296175888,0.160736407633336
"Residuals",11.6235624453328,26,NA,NA
