"","sum_sq","df","f_value","pr_f"
"stt",0.0109400018494172,1,1.37399573433781,0.252631245841684
"tourist_season",0.0203321327974229,1,2.55358857504555,0.123128058614323
"stt:tourist_season",0.00251919781195509,1,0.316395471885943,0.578998626597935
"Residuals",0.191092328618146,24,NA,NA
