"","sum_sq","df","f_value","pr_f"
"stt",0.378369662288224,1,3.31308932666269,0.0812249005180923
"tourist_season",0.00108352688743452,1,0.00948760358904456,0.923214195561512
"stt:tourist_season",0.0129842779711797,1,0.113693239834773,0.73890905228174
"Residuals",2.74090765432656,24,NA,NA
