"","sum_sq","df","f_value","pr_f"
"stt",0.099027837085087,1,3.21006694997986,0.0858057118320374
"tourist_season",0.00577593324587755,1,0.187231519577171,0.669094399345521
"stt:tourist_season",0.0258854770792771,1,0.839098549484144,0.368767788323067
"Residuals",0.740379601757839,24,NA,NA
