"","Df","SumOfSqs","R2","F","Pr(>F)"
"stt",1,0.0815029755248249,0.0216771144928755,0.726206018746895,0.667
"tourist_season",1,0.31141065719329,0.0828250064100351,2.77472438398045,0.008
"Residual",30,3.36693610714473,0.89549441618291,NA,NA
"Total",32,3.75986275994491,1,NA,NA
