"","sum_sq","df","f_value","pr_f"
"stt",0.000121368287729443,1,0.306862554250582,0.585462872658758
"tourist_season",0.00180569253608425,1,4.56543825557824,0.0445512729365911
"stt:tourist_season",0.000139747867138551,1,0.35333272194466,0.558582965263352
"Residuals",0.00830578383388225,21,NA,NA
