"","sum_sq","df","f_value","pr_f"
"stt",25.9798544221194,1,0.0116983755629454,0.914614422253977
"tourist_season",728.57101471888,1,0.328065631776638,0.571214943303308
"stt:tourist_season",1570.83581722509,1,0.707326031895686,0.407214455382951
"Residuals",64403.4527860353,29,NA,NA
