"","sum_sq","df","f_value","pr_f"
"stt",0.255756004585303,1,2.10093301481154,0.160151611324106
"tourist_season",0.39956621682586,1,3.28227623783046,0.082564867103151
"stt:tourist_season",0.0179741252637902,1,0.147650231087576,0.704174621390193
"Residuals",2.92162770862919,24,NA,NA
