"","sum_sq","df","f_value","pr_f"
"stt",3.71997211503491e-07,1,0.0390949960969427,0.845161980377341
"tourist_season",9.11253543453951e-07,1,0.0957680665956366,0.760018189728645
"stt:tourist_season",2.43370727441791e-05,1,2.55770133356433,0.124696121502227
"Residuals",0.000199819471069962,21,NA,NA
