"fatty_acid","tourist_season","mean_prop_Centralized","mean_prop_Decentralized","sd_prop_Centralized","sd_prop_Decentralized","cv_prop_Centralized","cv_prop_Decentralized"
"MUFA","In Season",0.412376505098476,0.409998818308273,0.0211012487246995,0.0437437152495794,0.0511698616769171,0.10669229591947
"MUFA","Out of Season",0.386645327666412,0.399890425465315,0.0410060970441004,0.0325168006278344,0.106056103901712,0.081314276504614
"PUFA","In Season",0.188091213720484,0.175626208446673,0.0255106254806179,0.0405258816996766,0.135629011988451,0.23075076355692
"PUFA","Out of Season",0.238070735522559,0.241371898727717,0.08003995887071,0.0468141004413532,0.336202426119381,0.193950085689811
"SAFA","In Season",0.39953228118104,0.414374973245054,0.0371441796610387,0.0298677063523718,0.0929691577142113,0.0720789340110764
"SAFA","Out of Season",0.375283936811028,0.358737675806968,0.0397948506318159,0.0194988164822191,0.106039312446923,0.0543539689227153
