"","sum_sq","df","f_value","pr_f"
"stt",233756.45396018,1,0.310273485427275,0.581786342216574
"tourist_season",204497.197919499,1,0.27143660542268,0.606325534883367
"stt:tourist_season",300369.614836045,1,0.398691568650778,0.532711652045419
"Residuals",21848264.4609803,29,NA,NA
