"","sum_sq","df","f_value","pr_f"
"stt",0.00048904444017224,1,0.1601904123475,0.69191442310929
"tourist_season",0.0441756405684762,1,14.4700838964385,0.000679415280219207
"stt:tourist_season",0.000782125997902353,1,0.256191617407103,0.616575105643897
"Residuals",0.0885339425572452,29,NA,NA
