SITE,C12:0,C14:0,iso-C15:0,C15:0,C15:1,C16:0,C16:1w9,C16:1w7c,C16:2,C16:2w6,C17:0,C16:3w3,C18:0,C18:1w9c,C18:1w7c,C18:2w6c,C18:3w6,C19:0,C18:3w3,C18:4w3,C20:0,C20:4w6,C20:4w2,C20:5w3,C22:0,C22:1w9c,C22:6w3,C24:0,C26:0,C28:0
LK_08_3162018_29.qgd,0.008835949,0.176825328,0.003594789,0.029409202,0.014277055,0.961089155,0.058563153,1.349751779,0.004917841,0.020432865,0.009865462,0.012885936,0.082127101,0.266788643,0.046672697,0.105525135,0.034531245,2.18888187,0.070279187,0.029626166,0.008265887,0.033433664,0.033433664,0.152963587,0.010601437,0.016080831,0.01365169,0.020862538,0.006862005,0.003343792
SJ_08_3162018_26.qgd,0.00752745,0.054027541,0.003107955,0.015245671,0.010834124,0.348059136,0.034791606,0.228867879,0.000834617,0.005715139,0.005731037,0.002797954,0.0690268,0.169570329,0.047660605,0.129492815,0.006096678,3.385993485,0.040379565,0.010738739,0.007257194,0.006486166,0.006486166,0.031794933,0.010468482,0.012384127,0.001232054,0.01060361,0.001780516,0.000985643
SL_08_3162018_25.qgd,0.00486116,0.068527334,0.002082379,0.012794682,0.009244397,0.386100358,0.025623502,0.28077295,0.001208463,0.007421462,0.006329066,0.005707766,0.055521001,0.133429281,0.052236987,0.114571804,0.008732336,2.87392867,0.074931503,0.013641289,0.006424651,0.008875713,0.008875713,0.040882901,0.007394152,0.004519786,0.001706868,0.006288102,0.002027759,0.001010466
WB_08_3162018_18.qgd,0.007126729,0.050826421,0.002119922,0.011125281,0.00783337,0.320582179,0.027731337,0.184760676,0.001258165,0.004868926,0.004541459,0.022603883,0.047388011,0.136898699,0.021362953,0.098093786,0.010970165,3.239326893,0.095163813,0.016933523,0.006316678,0.005696213,0.005696213,0.031514449,0.008281484,0.005420451,0.002886886,0.008462453,0.0025508,0.0012754
WF_08_3162018_17.qgd,0.009316479,0.09819487,0.003554433,0.017221725,0.012507856,0.641824017,0.042284284,0.652381912,0.001627895,0.01313442,0.006499869,0.025501739,0.062949183,0.173400113,0.059863209,0.149988873,0.022415765,2.852634468,0.121606111,0.030525962,0.007846689,0.018568545,0.018568545,0.087385178,0.016150125,0.012929469,0.005726912,0.022831522,0.006944905,0.002822466
WS_08_3162018_28.qgd,0.009519089,0.067122521,0.002668796,0.012084354,0.011049046,0.425811006,0.036287573,0.318507001,0.00080524,0.010347336,0.004773924,0.015661921,0.05532,0.206584368,0.050954448,0.163423494,0.011652976,2.478540773,0.091670843,0.019785902,0.005567661,0.009363793,0.009363793,0.03976161,0.014183731,0.005648185,0.003537305,0.011900299,0.002605527,0.00134015
YB_08_3162018_21.qgd,0.004574238,0.10755629,0.001750927,0.010918385,0.008925459,0.521605539,0.030781209,0.576956672,0.001755672,0.019041928,0.003886205,0.016470106,0.051080578,0.121848413,0.031137088,0.089895174,0.01874299,2.328629032,0.078568715,0.01953067,0.005490035,0.01484255,0.01484255,0.105663011,0.008337072,0.004080752,0.00545682,0.012237511,0.003587266,0.002173238
BD_07_3162018_8.qgd,0.033022144,0.246611859,0.005788651,0.032554452,0.018907037,1.1377114,0.074846105,1.145110139,0.005320959,0.051323482,0.011876318,0.029265272,0.152713043,0.362622555,0.117551781,0.204182199,0.050081413,3.2484375,0.146648377,0.048034301,0.012888374,0.041501943,0.040811905,0.315876325,0.018408676,0.080335739,0.020448122,0.027823859,0.011500631,0.006440353
BO_07_3162018_12.qgd,0.002665999,0.014658181,0.000664094,0.002848865,0.003589955,0.118632131,0.00802687,0.089989488,0,0.00201153,0.001761292,0,0.045986072,0.063454619,0.008517722,0.019585947,0.002319515,3.430466636,0.007276155,0.001212693,0.002742995,0.002001905,0.002001905,0.008402227,0.001973032,0,0,0.002848865,0.001722793,0.001068324
FI_07_3162018_11.qgd,0.011376127,0.098089728,0.005251811,0.02439659,0.012231853,0.545584264,0.062493191,0.378826692,0.002013474,0.008985127,0.008884453,0.008238463,0.108249381,0.21877231,0.076914696,0.126219634,0.011845937,3.399280576,0.065010033,0.017013853,0.010218379,0.01467319,0.01467319,0.065790254,0.018532348,0.034094822,0.003557137,0.030369895,0.005402821,0.002961484
FLBS_07_3162018_9.qgd,0.076351179,0.113722013,0.004232152,0.020550007,0.010217521,0.427001836,0.044793266,0.274321034,0.002392711,0.012947941,0.006315894,0.005762624,0.107377378,0.251177128,0.049039789,0.088120728,0.009003202,2.723342939,0.036867862,0.011970738,0.006991313,0.012991053,0.012991053,0.056232291,0.012035406,0.030566339,0.004332746,0.014133519,0.004153113,0.003506435
SJ_07_3162018_14.qgd,0.013050379,0.056864413,0.004140021,0.015843819,0.01042168,0.334081111,0.05159269,0.127681701,0.001217653,0.005271723,0.006030966,0.002163125,0.086403251,0.239877716,0.060739416,0.126528511,0.003173061,3.145234493,0.041622258,0.005916363,0.006561003,0.002915205,0.002915205,0.01436831,0.011001856,0.017648811,0.001411045,0.01146743,0.002829253,0.001138864
SL_07_3162018_13.qgd,0.006887439,0.088818768,0.003297766,0.019163332,0.011171378,0.436496358,0.050152861,0.225470917,0.001143962,0.007999843,0.006792766,0.006776987,0.081308068,0.151010841,0.07142266,0.099919142,0.006792766,3.293726236,0.07713458,0.011747304,0.00893868,0.006272066,0.006272066,0.030634507,0.010248319,0.012954381,0.002059131,0.009648726,0.002414154,0.000686377
WB_07_3162018_7.qgd,0.014145153,0.169390321,0.0074944,0.048917484,0.02300345,0.842325603,0.104162322,0.619905018,0.002903553,0.017899384,0.014595099,0.014482612,0.106749507,0.316754416,0.106531565,0.161382701,0.017983749,3.121621622,0.100499487,0.022806599,0.011318935,0.015502019,0.015502019,0.084554552,0.017843141,0.037957099,0.00570165,0.021906709,0.005715711,0.002313
YB_07_3162018_10.qgd,0.016961003,0.120447782,0.002022168,0.010905459,0.011568555,0.472365303,0.023860487,0.56316558,0.002159171,0.026173102,0.003978575,0.006115825,0.056730308,0.132942479,0.033034225,0.068123499,0.01684044,2.130559541,0.046520825,0.015892378,0.005156803,0.01558001,0.01558001,0.151673564,0.008072232,0.007907828,0.006992646,0.01134935,0.003293558,0.00252634
