"","PEAK_TIME","AREA.x","SITE","MONTH","TIME","LINE","DATE_HPLC","ROW","PPCP","AREA.y","AREA","CONCENTRATION"
"1",2.67859792709351,2917.6796875,"BB","JULY","1","LINEC","20180918","ROW2","acetaminophen",0,2917.6796875,0.00173604896623268
"2",2.69694423675537,8982.609375,"BD","JULY","1","LINEC","20180918","ROW2","acetaminophen",0,8982.609375,0.0272944450189098
"3",2.29982018470764,1249.65075683594,"BO","SEPTEMBER","1","P2LINEA","20180920","ROW2","acetaminophen",0,1249.65075683594,0.000217439399691834
"4",4.07254314422608,3744.18530273438,"DA","JULY","1","LINED","20180919","ROW2","acetaminophen",0,3744.18530273438,0.00319852203010398
"5",2.67762136459351,85547.78125,"SA","SEPTEMBER","1","LINEF","20180920","ROW2","acetaminophen",0,85547.78125,6.8263130306366
"6",2.71146631240845,3283.48095703125,"SJ","JULY","1","LINED","20180919","ROW2","acetaminophen",0,3283.48095703125,0.00231868243404854
"7",9.11355972290039,3049.96020507813,"BB","AUGUST","1","P2LINEA","20180920","ROW4","caffeine",0,3049.96020507813,0.101141173812324
"8",9.03031158447266,7460.7587890625,"BB","JULY","1","LINEC","20180918","ROW4","caffeine",0,7460.7587890625,0.478188042468982
"9",9.18313026428223,19674.701171875,"BB","JUNE","1","LINEF","20180920","ROW4","caffeine",0,19674.701171875,2.57600933665619
"10",8.97248649597168,5864.638671875,"BB","SEPTEMBER","1","P2LINEA","20180920","ROW4","caffeine",0,5864.638671875,0.314808078941938
"11",9.15918445587158,1185.14562988281,"BD","AUGUST","1","LINEE","20180919","ROW4","caffeine",0,1185.14562988281,0.0195881074631917
"12",9.03711223602295,26931.830078125,"BD","JULY","1","LINEC","20180918","ROW4","caffeine",0,26931.830078125,4.44379106141043
"13",9.07432079315186,3041.5810546875,"BD","JUNE","1","LINEC","20180918","ROW4","caffeine",0,3041.5810546875,0.100659106881047
"14",8.98364162445069,3380.66015625,"BD","SEPTEMBER","1","LINEF","20180920","ROW4","caffeine",0,3380.66015625,0.120939781591081
"15",9.13179397583008,1933.82055664063,"BO","AUGUST","1","LINEF","20180920","ROW4","caffeine",0,1933.82055664063,0.0458439831558417
"16",9.00823307037354,3062.40014648438,"BO","JULY","1","LINED","20180919","ROW4","caffeine",0,3062.40014648438,0.101858666043875
"17",9.13650131225586,7139.3017578125,"BO","JUNE","1","LINEF","20180920","ROW4","caffeine",0,7139.3017578125,0.442977100548004
"18",9.07088661193848,4856.92333984375,"BO","SEPTEMBER","1","P2LINEA","20180920","ROW4","caffeine",0,4856.92333984375,0.226907374283244
"19",9.16531372070313,18918.595703125,"DA","AUGUST","1","P2LINEA","20180920","ROW4","caffeine",0,18918.595703125,2.40652780907892
"20",9.09702682495117,4102.03173828125,"DA","JULY","1","LINEC","20180918","ROW4","caffeine",0,4102.03173828125,0.169216920283519
"21",9.08543872833252,9125.5859375,"DA","JULY","1","LINED","20180919","ROW4","caffeine",0,9125.5859375,0.67844918450627
"22",9.08849620819092,8908.984375,"DA","JUNE","1","LINEB","20180917","ROW4","caffeine",0,8908.984375,0.65072811778536
"23",9.03075981140137,4562.75,"DA","SEPTEMBER","1","LINEE","20180919","ROW4","caffeine",0,4562.75,0.203575372783074
"24",9.10973072052002,3734.41455078125,"DU","AUGUST","1","LINEF","20180920","ROW4","caffeine",0,3734.41455078125,0.143757041900202
"25",9.22840404510498,6334.65380859375,"DU","JUNE","1","LINEB","20180918","ROW4","caffeine",0,6334.65380859375,0.359908308492028
"26",8.94230842590332,2185.14086914063,"DU","SEPTEMBER","1","LINEE","20180919","ROW4","caffeine",0,2185.14086914063,0.0566806583906087
"27",9.11817836761475,1442.33532714844,"FI","AUGUST","1","LINEF","20180920","ROW4","caffeine",0,1442.33532714844,0.0275498704057084
"28",9.15643310546875,2857.96850585938,"FI","JULY","1","LINED","20180919","ROW4","caffeine",0,2857.96850585938,0.0903421763914813
"29",9.02703762054444,4889.24462890625,"FI","JUNE","1","LINEB","20180917","ROW4","caffeine",0,4889.24462890625,0.229536140377203
"30",9.09078311920166,3234.30004882813,"FI","SEPTEMBER","1","LINED","20180919","ROW4","caffeine",0,3234.30004882813,0.111992409915398
"31",9.05767059326172,2877.11987304688,"FLBS","JUNE","1","LINEB","20180917","ROW4","caffeine",0,2877.11987304688,0.0913961171293852
"32",9.06969738006592,4697.6796875,"FLBS","SEPTEMBER","1","LINEF","20180920","ROW4","caffeine",0,4697.6796875,0.214143844980121
"33",8.9422197341919,2861.5185546875,"HO","AUGUST","1","LINEE","20180919","ROW4","caffeine",0,2861.5185546875,0.0905371516029374
"34",9.20464324951172,2282.25463867188,"HO","JULY","1","LINEB","20180918","ROW4","caffeine",0,2282.25463867188,0.0611267078953115
"35",9.17298316955567,1817.15600585938,"HO","JUNE","1","LINEC","20180918","ROW4","caffeine",0,1817.15600585938,0.0411482220704645
"36",9.0356559753418,1914.31420898438,"HO","SEPTEMBER","1","LINEC","20180918","ROW4","caffeine",0,1914.31420898438,0.0450438956509547
"37",9.17311668395996,2973.2431640625,"LK","AUGUST","1","LINEF","20180920","ROW4","caffeine",0,2973.2431640625,0.0967640625033364
"38",9.30336856842041,3163.43017578125,"LK","JULY","1","LINEB","20180918","ROW4","caffeine",0,3163.43017578125,0.107765167892172
"39",9.00933170318604,2185.99243164063,"LK","JUNE","1","LINEC","20180918","ROW4","caffeine",0,2185.99243164063,0.0567190244891934
"40",9.1179723739624,2126.97802734375,"LK","SEPTEMBER","1","LINED","20180919","ROW4","caffeine",0,2126.97802734375,0.0540863269087656
