PEAK_TIME,AREA.x,SITE,MONTH,TIME,LINE,DATE_HPLC,ROW,PPCP,AREA.y,AREA,CONCENTRATION
8.975333214,5116.075195,SJ,SEPTEMBER,2,LINEB,20180831,ROW4,caffeine,0,5116.075195,0.250577582
8.947131157,2089.253174,WB,AUGUST,2,LINED,20180901,ROW4,caffeine,0,2089.253174,0.056469447
9.049275398,2197.62085,WB,JULY,2,LINEF,20180902,ROW4,caffeine,0,2197.62085,0.06142617
8.993218422,12560.29883,WB,SEPTEMBER,2,LINEB,20180831,ROW4,caffeine,0,12560.29883,1.116682479
8.999875069,1446.640869,WF,AUGUST,2,LINED,20180901,ROW4,caffeine,0,1446.640869,0.030635173
9.296741486,1679.911133,WF,JULY,2,LINEF,20180902,ROW4,caffeine,0,1679.911133,0.039286524
9.349444389,2588.075439,WF,JUNE,2,P2LINE4,20180903,ROW4,caffeine,0,2588.075439,0.080634992
8.862143517,2532.04126,WF,SEPTEMBER,2,LINEC,20180831,ROW4,caffeine,0,2532.04126,0.077751217
9.054201126,10487.41211,WS,AUGUST,2,LINEC,20180901,ROW4,caffeine,0,10487.41211,0.827182631
9.164674759,2501.174805,WS,JULY,2,P2LINEA,20180903,ROW4,caffeine,0,2501.174805,0.076180632
9.173166275,1972.013428,WS,JUNE,2,LINEF,20180902,ROW4,caffeine,0,1972.013428,0.051295987
9.090783119,1407.62085,YB,AUGUST,2,LINED,20180901,ROW4,caffeine,0,1407.62085,0.02927269
9.203611374,4675.541016,YB,JULY,2,LINEF,20180902,ROW4,caffeine,0,4675.541016,0.21571442
8.979474068,4341.470703,YB,JUNE,2,LINED,20180901,ROW4,caffeine,0,4341.470703,0.190683491
8.835430145,4384.851074,YB,SEPTEMBER,2,LINEC,20180831,ROW4,caffeine,0,4384.851074,0.193864078
19.5876503,4198.745117,BB,AUGUST,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-95344.89551,NA
19.57730675,9316.194336,BB,JULY,2,LINEE,20180902,ROW3,carbamezapine,22623.28711,-13307.09277,NA
19.5738678,6353.312012,BB,JUNE,2,LINEE,20180901,ROW3,carbamezapine,22623.28711,-16269.9751,NA
19.56822395,9546.651367,BB,SEPTEMBER,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-89996.98926,NA
19.57395363,4587.640625,BD,AUGUST,2,LINEC,20180901,ROW3,carbamezapine,11474.87402,-6887.233398,NA
19.59521675,10433.36914,BD,JULY,2,LINEE,20180902,ROW3,carbamezapine,22623.28711,-12189.91797,NA
19.58772278,5235.428711,BD,JUNE,2,LINEF,20180902,ROW3,carbamezapine,0,5235.428711,0.002175821
19.59841156,8034.401367,BD,SEPTEMBER,2,LINEC,20180831,ROW3,carbamezapine,11474.87402,-3440.472656,NA
19.59252357,4871.88623,BO,AUGUST,2,LINEF,20180902,ROW3,carbamezapine,0,4871.88623,0.001846133
19.58244514,5003.880371,BO,JULY,2,LINEC,20180831,ROW3,carbamezapine,11474.87402,-6470.993652,NA
19.57217216,4535.717773,BO,JUNE,2,LINEC,20180901,ROW3,carbamezapine,11474.87402,-6939.15625,NA
19.57975197,10944.1084,BO,SEPTEMBER,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-88599.53223,NA
19.36112595,27949.11914,DA,AUGUST,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-71594.52148,NA
19.57223129,14127.11133,DA,JULY,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-85416.5293,NA
19.57991982,6664.34668,DA,SEPTEMBER,2,LINEE,20180902,ROW3,carbamezapine,22623.28711,-15958.94043,NA
19.56601524,6283.14502,DU,AUGUST,2,LINED,20180901,ROW3,carbamezapine,10493.41113,-4210.266113,NA
19.58367538,11710.10938,DU,JULY,2,LINED,20180901,ROW3,carbamezapine,10493.41113,1216.698242,7.77E-05
19.57234764,5339.202148,DU,SEPTEMBER,2,LINED,20180901,ROW3,carbamezapine,10493.41113,-5154.208984,NA
19.5941906,5115.641602,FI,AUGUST,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-94427.99902,NA
19.57230186,5783.640137,FI,JULY,2,LINED,20180901,ROW3,carbamezapine,10493.41113,-4709.770996,NA
19.59523392,6749.817383,FI,JULY,2,P2LINE2,20180903,ROW3,carbamezapine,0,6749.817383,0.003886387
19.57623672,7450.20752,FI,SEPTEMBER,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-92093.43311,NA
19.57602692,5109.402344,FI2,JULY,2,P2LINE3,20180903,ROW3,carbamezapine,0,5109.402344,0.002058081
19.58211136,7321.002441,FI2,SEPT,2,LINEC,20180901,ROW3,carbamezapine,11474.87402,-4153.871582,NA
19.58040047,6670.367188,FLBS,AUGUST,2,LINEB,20180831,ROW3,carbamezapine,99543.64063,-92873.27344,NA
