"site","sampling_event","ppcp","concentration","peri_sampling","month","time","stt","tourist_season"
"HO","july_2","carbamezapine",0,"peri_2","august",2,"centralized","In Season"
"HO","june_2","carbamezapine",0,"peri_1","july",2,"centralized","In Season"
"HO","june_2","carbamezapine",7.45215707697146e-06,"peri_1","july",2,"centralized","In Season"
"HO","june_2","carbamezapine",0,"peri_1","july",2,"centralized","In Season"
"HO","june_2","carbamezapine",0,"peri_1","july",2,"centralized","In Season"
"HO","may_1","carbamezapine",0,NA,"june",2,"centralized","In Season"
"HO","may_1","carbamezapine",0,NA,"june",2,"centralized","In Season"
"HO","may_1","carbamezapine",2.63828140554791e-08,NA,"june",2,"centralized","In Season"
"HO","may_1","carbamezapine",0,NA,"june",2,"centralized","In Season"
"HO","august_2","carbamezapine",0,"peri_3","september",2,"centralized","In Season"
"HO","august_2","carbamezapine",0,"peri_3","september",2,"centralized","In Season"
"HO","august_2","carbamezapine",0.000155902994603804,"peri_3","september",2,"centralized","In Season"
"HO","august_2","carbamezapine",0,"peri_3","september",2,"centralized","In Season"
"LK","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"LK","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"LK","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"LK","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"LK","june_2","carbamezapine",0,"peri_1","july",2,"decentralized","In Season"
"LK","june_2","carbamezapine",0.000242744399128373,"peri_1","july",2,"decentralized","In Season"
"LK","june_2","carbamezapine",0,"peri_1","july",2,"decentralized","In Season"
"LK","june_2","carbamezapine",0,"peri_1","july",2,"decentralized","In Season"
"LK","may_1","carbamezapine",0,NA,"june",2,"decentralized","In Season"
"LK","may_1","carbamezapine",0,NA,"june",2,"decentralized","In Season"
"LK","may_1","carbamezapine",7.46816787302899e-05,NA,"june",2,"decentralized","In Season"
"LK","may_1","carbamezapine",0,NA,"june",2,"decentralized","In Season"
"LK","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"LK","august_2","carbamezapine",7.17833356949065e-07,"peri_3","september",2,"decentralized","In Season"
"LK","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"SL","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"SL","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"SL","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"SL","june_2","carbamezapine",3.61814608923938e-06,"peri_1","july",2,"decentralized","In Season"
"SL","june_2","carbamezapine",0,"peri_1","july",2,"decentralized","In Season"
"SL","may_1","carbamezapine",0,NA,"june",2,"decentralized","In Season"
"SL","may_1","carbamezapine",0,NA,"june",2,"decentralized","In Season"
"SL","may_1","carbamezapine",5.03626977848186e-06,NA,"june",2,"decentralized","In Season"
"SL","may_1","carbamezapine",0,NA,"june",2,"decentralized","In Season"
"SL","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"SL","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"SL","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"SL","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"SJ","july_2","carbamezapine",9.40194940360795e-05,"peri_2","august",2,"decentralized","In Season"
"SJ","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"SJ","june_2","carbamezapine",8.31066707940687e-07,"peri_1","july",2,"decentralized","In Season"
"SJ","june_2","carbamezapine",0,"peri_1","july",2,"decentralized","In Season"
"SJ","may_1","carbamezapine",0,NA,"june",2,"decentralized","In Season"
"SJ","may_1","carbamezapine",0,NA,"june",2,"decentralized","In Season"
"SJ","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"SJ","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"SJ","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"SJ","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"WB","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"WB","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"WB","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"WB","june_2","carbamezapine",0.000711340772874743,"peri_1","july",2,"decentralized","In Season"
"WB","june_2","carbamezapine",0,"peri_1","july",2,"decentralized","In Season"
"WB","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"WB","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"WB","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"WB","august_2","carbamezapine",0,"peri_3","september",2,"decentralized","In Season"
"WF","july_2","carbamezapine",0,"peri_2","august",2,"centralized","In Season"
"WF","july_2","carbamezapine",0,"peri_2","august",2,"centralized","In Season"
"WF","july_2","carbamezapine",0,"peri_2","august",2,"centralized","In Season"
"WF","june_2","carbamezapine",0.000415390706954826,"peri_1","july",2,"centralized","In Season"
"WF","june_2","carbamezapine",0,"peri_1","july",2,"centralized","In Season"
"WF","may_1","carbamezapine",0.00031593717329408,NA,"june",2,"centralized","In Season"
"WS","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"WS","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"WS","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"WS","july_2","carbamezapine",0,"peri_2","august",2,"decentralized","In Season"
"WS","june_2","carbamezapine",0.00107737068708141,"peri_1","july",2,"decentralized","In Season"
"WS","june_2","carbamezapine",0,"peri_1","july",2,"decentralized","In Season"
"WS","may_1","carbamezapine",0,NA,"june",2,"decentralized","In Season"
"WS","may_1","carbamezapine",0,NA,"june",2,"decentralized","In Season"
"YB","july_2","carbamezapine",0,"peri_2","august",2,"centralized","In Season"
"YB","july_2","carbamezapine",0,"peri_2","august",2,"centralized","In Season"
"YB","july_2","carbamezapine",0,"peri_2","august",2,"centralized","In Season"
"YB","june_2","carbamezapine",0.000463778156812162,"peri_1","july",2,"centralized","In Season"
"YB","june_2","carbamezapine",0,"peri_1","july",2,"centralized","In Season"
"YB","may_1","carbamezapine",0,NA,"june",2,"centralized","In Season"
"YB","may_1","carbamezapine",0,NA,"june",2,"centralized","In Season"
"YB","may_1","carbamezapine",0,NA,"june",2,"centralized","In Season"
"YB","august_2","carbamezapine",0,"peri_3","september",2,"centralized","In Season"
"YB","august_2","carbamezapine",1.40766387731572e-06,"peri_3","september",2,"centralized","In Season"
"YB","august_2","carbamezapine",0,"peri_3","september",2,"centralized","In Season"
"YB","august_2","carbamezapine",0,"peri_3","september",2,"centralized","In Season"
"BB","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"BB","june_2","carbamezapine",0.000396160860257279,"peri_1","july",1,"decentralized","In Season"
"BB","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"BB","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"BB","may_1","carbamezapine",2.48068271591964e-05,NA,"june",1,"decentralized","In Season"
"BB","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"BD","july_2","carbamezapine",0,"peri_2","august",1,"decentralized","In Season"
"BD","july_2","carbamezapine",4.57435034716913e-05,"peri_2","august",1,"decentralized","In Season"
"BD","july_2","carbamezapine",0.000703372202818499,"peri_2","august",1,"decentralized","In Season"
"BD","july_2","carbamezapine",0,"peri_2","august",1,"decentralized","In Season"
"BD","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"BD","june_2","carbamezapine",4.92787984021569e-05,"peri_1","july",1,"decentralized","In Season"
"BD","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"BD","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"BD","august_2","carbamezapine",6.8520332257945e-05,"peri_3","september",1,"decentralized","In Season"
"BD","august_2","carbamezapine",0,"peri_3","september",1,"decentralized","In Season"
"BO","august_2","carbamezapine",0.0117002638085202,"peri_3","september",1,"decentralized","In Season"
"BO","august_2","carbamezapine",0,"peri_3","september",1,"decentralized","In Season"
"DA","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"DA","june_2","carbamezapine",0.000271552075950651,"peri_1","july",1,"decentralized","In Season"
"DA","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"DA","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"DU","july_2","carbamezapine",6.71060689274948e-05,"peri_2","august",1,"decentralized","In Season"
"DU","july_2","carbamezapine",0,"peri_2","august",1,"decentralized","In Season"
"FI","august_2","carbamezapine",0,"peri_3","september",1,"decentralized","In Season"
"FI","august_2","carbamezapine",0.000356503916927218,"peri_3","september",1,"decentralized","In Season"
"FI","august_2","carbamezapine",0,"peri_3","september",1,"decentralized","In Season"
"FLBS","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"FLBS","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"FLBS","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"FLBS","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"HO","july_2","carbamezapine",0,"peri_2","august",1,"centralized","In Season"
"HO","july_2","carbamezapine",0.000213333029595049,"peri_2","august",1,"centralized","In Season"
"HO","july_2","carbamezapine",0.0013406720555072,"peri_2","august",1,"centralized","In Season"
"HO","july_2","carbamezapine",0,"peri_2","august",1,"centralized","In Season"
"HO","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"HO","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"HO","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"HO","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"HO","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"HO","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"HO","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"HO","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"HO","august_2","carbamezapine",0,"peri_3","september",1,"centralized","In Season"
"HO","august_2","carbamezapine",0.000189035120411958,"peri_3","september",1,"centralized","In Season"
"HO","august_2","carbamezapine",0,"peri_3","september",1,"centralized","In Season"
"HO","august_2","carbamezapine",0,"peri_3","september",1,"centralized","In Season"
"LK","july_2","carbamezapine",0.000429886664636068,"peri_2","august",1,"decentralized","In Season"
"LK","july_2","carbamezapine",0,"peri_2","august",1,"decentralized","In Season"
"LK","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"LK","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"LK","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"LK","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"LK","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"LK","may_1","carbamezapine",4.60220580037159e-06,NA,"june",1,"decentralized","In Season"
"LK","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"LK","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"LK","august_2","carbamezapine",0,"peri_3","september",1,"decentralized","In Season"
"LK","august_2","carbamezapine",0.000152859874277263,"peri_3","september",1,"decentralized","In Season"
"LK","august_2","carbamezapine",0,"peri_3","september",1,"decentralized","In Season"
"SL","july_2","carbamezapine",0,"peri_2","august",1,"decentralized","In Season"
"SL","july_2","carbamezapine",1.48031067370031e-07,"peri_2","august",1,"decentralized","In Season"
"SL","july_2","carbamezapine",0.000268816137120272,"peri_2","august",1,"decentralized","In Season"
"SL","july_2","carbamezapine",0,"peri_2","august",1,"decentralized","In Season"
"SL","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"SL","june_2","carbamezapine",7.95357701485692e-05,"peri_1","july",1,"decentralized","In Season"
"SL","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"SL","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"SL","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"SL","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"SL","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"SJ","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"SJ","june_2","carbamezapine",0.000253030384547948,"peri_1","july",1,"decentralized","In Season"
"SJ","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"SJ","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"SJ","may_1","carbamezapine",6.48780202052473e-07,NA,"june",1,"decentralized","In Season"
"SJ","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"SJ","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"SJ","august_2","carbamezapine",1.51875350181795e-09,"peri_3","september",1,"decentralized","In Season"
"SJ","august_2","carbamezapine",0.000368000003133828,"peri_3","september",1,"decentralized","In Season"
"SJ","august_2","carbamezapine",0,"peri_3","september",1,"decentralized","In Season"
"WB","july_2","carbamezapine",0,"peri_2","august",1,"decentralized","In Season"
"WB","july_2","carbamezapine",0,"peri_2","august",1,"decentralized","In Season"
"WB","july_2","carbamezapine",0.000212641277067878,"peri_2","august",1,"decentralized","In Season"
"WB","july_2","carbamezapine",0,"peri_2","august",1,"decentralized","In Season"
"WB","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"WB","june_2","carbamezapine",4.32165468818509e-06,"peri_1","july",1,"decentralized","In Season"
"WB","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"WB","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"WB","may_1","carbamezapine",3.54435294134276e-06,NA,"june",1,"decentralized","In Season"
"WB","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"WB","may_1","carbamezapine",0,NA,"june",1,"decentralized","In Season"
"WB","august_2","carbamezapine",0,"peri_3","september",1,"decentralized","In Season"
"WB","august_2","carbamezapine",8.70533525067649e-06,"peri_3","september",1,"decentralized","In Season"
"WB","august_2","carbamezapine",0,"peri_3","september",1,"decentralized","In Season"
"WB","august_2","carbamezapine",0,"peri_3","september",1,"decentralized","In Season"
"WF","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"WF","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"WF","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"WF","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"WF","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"WF","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"WF","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"WF","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"YB","july_2","carbamezapine",0,"peri_2","august",1,"centralized","In Season"
"YB","july_2","carbamezapine",6.8659217707717e-06,"peri_2","august",1,"centralized","In Season"
"YB","july_2","carbamezapine",0.000419628012661365,"peri_2","august",1,"centralized","In Season"
"YB","july_2","carbamezapine",0,"peri_2","august",1,"centralized","In Season"
"YB","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"YB","june_2","carbamezapine",0.00015350886983174,"peri_1","july",1,"centralized","In Season"
"YB","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"YB","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"YB","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"YB","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"YB","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"YB","may_1","carbamezapine",0,NA,"june",1,"centralized","In Season"
"YB","august_2","carbamezapine",0,"peri_3","september",1,"centralized","In Season"
"YB","august_2","carbamezapine",0.000159028482779724,"peri_3","september",1,"centralized","In Season"
"YB","august_2","carbamezapine",0.0011651227418256,"peri_3","september",1,"centralized","In Season"
"YB","august_2","carbamezapine",0,"peri_3","september",1,"centralized","In Season"
"BO","july_2","carbamezapine",0,"peri_2","july",26,"decentralized","In Season"
"BO","july_2","carbamezapine",7.32910844897507e-07,"peri_2","july",26,"decentralized","In Season"
"BO","july_2","carbamezapine",0.000302898694700065,"peri_2","july",26,"decentralized","In Season"
"BO","july_2","carbamezapine",0,"peri_2","july",26,"decentralized","In Season"
"FI","september_1","carbamezapine",0,"peri_4","september",15,"decentralized","Out of Season"
"FI","september_1","carbamezapine",1.63402309110715e-05,"peri_4","september",15,"decentralized","Out of Season"
"FI","september_1","carbamezapine",0,"peri_4","september",15,"decentralized","Out of Season"
"FLBS","june_2","carbamezapine",0.850724714853099,"peri_1","july",1,"centralized","In Season"
"FLBS","june_2","carbamezapine",3.64780244311063,"peri_1","july",1,"centralized","In Season"
"FLBS","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"FLBS","june_2","carbamezapine",0,"peri_1","july",1,"centralized","In Season"
"FLBS","july_1","carbamezapine",0,"peri_2","july",18,"centralized","In Season"
"FLBS","july_1","carbamezapine",6.67688579199785e-05,"peri_2","july",18,"centralized","In Season"
"FLBS","july_1","carbamezapine",0,"peri_2","july",18,"centralized","In Season"
"FLBS","july_1","carbamezapine",0,"peri_2","july",18,"centralized","In Season"
"LK","june_1","carbamezapine",78.945282710079,"peri_1","june",9,"decentralized","In Season"
"LK","june_1","carbamezapine",108.649833993783,"peri_1","june",9,"decentralized","In Season"
"LK","june_1","carbamezapine",0,"peri_1","june",9,"decentralized","In Season"
"LK","june_1","carbamezapine",0,"peri_1","june",9,"decentralized","In Season"
"LK","september_1","carbamezapine",0,"peri_4","september",15,"decentralized","Out of Season"
"LK","september_1","carbamezapine",0,"peri_4","september",15,"decentralized","Out of Season"
"LK","september_1","carbamezapine",0.00014035870110709,"peri_4","september",15,"decentralized","Out of Season"
"LK","september_1","carbamezapine",0,"peri_4","september",15,"decentralized","Out of Season"
"SJ","august_2","carbamezapine",0,"peri_3","august",24,"decentralized","In Season"
"SJ","august_2","carbamezapine",0,"peri_3","august",24,"decentralized","In Season"
"SJ","august_2","carbamezapine",0,"peri_3","august",24,"decentralized","In Season"
"SJ","august_2","carbamezapine",0,"peri_3","august",24,"decentralized","In Season"
"WF","september_1","carbamezapine",0,"peri_4","september",15,"centralized","Out of Season"
"WF","september_1","carbamezapine",0,"peri_4","september",15,"centralized","Out of Season"
"WF","september_1","carbamezapine",0,"peri_4","september",15,"centralized","Out of Season"
"WF","september_1","carbamezapine",0,"peri_4","september",15,"centralized","Out of Season"
"BB","august_2","carbamezapine",0.000136422760301556,"peri_3","august",29,"decentralized","In Season"
"BD","september_1","carbamezapine",0,"peri_4","september",14,"decentralized","Out of Season"
"BD","september_1","carbamezapine",0,"peri_4","september",14,"decentralized","Out of Season"
"BD","september_2","carbamezapine",0.000604441654162267,"peri_4","september",20,"decentralized","Out of Season"
"BO","may_1","carbamezapine",0.001403099048905,NA,"may",24,"decentralized","In Season"
"BO","may_1","carbamezapine",0.00467671035938072,NA,"may",24,"decentralized","In Season"
"BO","may_1","carbamezapine",0,NA,"may",24,"decentralized","In Season"
"BO","september_1","carbamezapine",0.000578622774570423,"peri_4","september",14,"decentralized","Out of Season"
"BO","september_2","carbamezapine",0,"peri_4","september",24,"decentralized","Out of Season"
"BO","september_2","carbamezapine",0,"peri_4","september",24,"decentralized","Out of Season"
"BO","september_2","carbamezapine",0,"peri_4","september",24,"decentralized","Out of Season"
"BO","september_2","carbamezapine",0,"peri_4","september",24,"decentralized","Out of Season"
"DA","july_2","carbamezapine",0.00220341329783712,"peri_2","july",30,"decentralized","In Season"
"DA","june_2","carbamezapine",0,"peri_1","june",29,"decentralized","In Season"
"DA","june_2","carbamezapine",0,"peri_1","june",29,"decentralized","In Season"
"DA","june_2","carbamezapine",0,"peri_1","june",29,"decentralized","In Season"
"DA","june_2","carbamezapine",0,"peri_1","june",29,"decentralized","In Season"
"DA","september_2","carbamezapine",0,"peri_4","september",30,"decentralized","Out of Season"
"DA","september_2","carbamezapine",0,"peri_4","september",30,"decentralized","Out of Season"
"DA","september_2","carbamezapine",0,"peri_4","september",30,"decentralized","Out of Season"
"DA","september_2","carbamezapine",0,"peri_4","september",30,"decentralized","Out of Season"
"DU","august_1","carbamezapine",0.000300220713700021,"peri_3","august",12,"decentralized","In Season"
"DU","june_2","carbamezapine",3.38549317217544e-05,"peri_1","july",1,"decentralized","In Season"
"DU","june_2","carbamezapine",0,"peri_1","july",1,"decentralized","In Season"
"DU","july_2","carbamezapine",0,"peri_2","july",26,"decentralized","In Season"
"DU","july_2","carbamezapine",0.000752213225773953,"peri_2","july",26,"decentralized","In Season"
"DU","july_2","carbamezapine",0.00268878320918975,"peri_2","july",26,"decentralized","In Season"
"DU","july_2","carbamezapine",0,"peri_2","july",26,"decentralized","In Season"
"DU","june_1","carbamezapine",0,"peri_1","june",11,"decentralized","In Season"
"DU","june_1","carbamezapine",0.000378649418754555,"peri_1","june",11,"decentralized","In Season"
"DU","june_1","carbamezapine",0.00180626598991046,"peri_1","june",11,"decentralized","In Season"
"DU","june_1","carbamezapine",0,"peri_1","june",11,"decentralized","In Season"
"DU","may_1","carbamezapine",0,NA,"may",24,"decentralized","In Season"
"DU","may_1","carbamezapine",0,NA,"may",24,"decentralized","In Season"
"DU","may_1","carbamezapine",0,NA,"may",24,"decentralized","In Season"
"DU","may_1","carbamezapine",0,NA,"may",24,"decentralized","In Season"
"FI","august_1","carbamezapine",0.000372941923863981,"peri_3","august",14,"decentralized","In Season"
"FI","august_2","carbamezapine",0.000264123495074713,"peri_3","august",29,"decentralized","In Season"
"FLBS","july_2","carbamezapine",0,"peri_2","july",27,"centralized","In Season"
"FLBS","july_2","carbamezapine",1.29495456184931e-08,"peri_2","july",27,"centralized","In Season"
"FLBS","july_2","carbamezapine",0,"peri_2","july",27,"centralized","In Season"
"FLBS","august_2","carbamezapine",0,"peri_3","september",1,"centralized","In Season"
"FLBS","august_2","carbamezapine",0,"peri_3","september",1,"centralized","In Season"
"FLBS","september_1","carbamezapine",0.000395423836229241,"peri_4","september",14,"centralized","Out of Season"
"HO","august_1","carbamezapine",0,"peri_3","august",20,"centralized","In Season"
"HO","august_1","carbamezapine",0,"peri_3","august",20,"centralized","In Season"
"LK","august_1","carbamezapine",3.48103725627546e-07,"peri_3","august",21,"decentralized","In Season"
"LK","august_1","carbamezapine",0,"peri_3","august",21,"decentralized","In Season"
"LK","july_2","carbamezapine",0.00176688818799739,"peri_2","july",30,"decentralized","In Season"
"SJ","august_1","carbamezapine",0,"peri_3","august",10,"decentralized","In Season"
"SJ","august_1","carbamezapine",0,"peri_3","august",10,"decentralized","In Season"
"WB","july_2","carbamezapine",0,"peri_2","july",26,"decentralized","In Season"
"WB","july_2","carbamezapine",0,"peri_2","july",26,"decentralized","In Season"
"WB","july_2","carbamezapine",0,"peri_2","july",26,"decentralized","In Season"
"WB","july_2","carbamezapine",0,"peri_2","july",26,"decentralized","In Season"
"WB","september_2","carbamezapine",0.000897556155686879,"peri_4","september",19,"decentralized","Out of Season"
"WF","august_1","carbamezapine",0.000225838677236109,"peri_3","august",19,"centralized","In Season"
"WS","august_1","carbamezapine",0,"peri_3","august",19,"decentralized","In Season"
"WS","august_1","carbamezapine",0,"peri_3","august",19,"decentralized","In Season"
"WS","august_1","carbamezapine",0,"peri_3","august",20,"decentralized","In Season"
"WS","august_1","carbamezapine",0,"peri_3","august",20,"decentralized","In Season"
"YB","august_2","carbamezapine",0.000269738583364307,"peri_3","august",28,"centralized","In Season"
"YB","september_2","carbamezapine",0.00068451403209665,"peri_4","september",20,"centralized","Out of Season"
"BD","august_2","cotinine",0,"peri_3","september",2,"decentralized","In Season"
"BD","august_2","cotinine",0,"peri_3","september",2,"decentralized","In Season"
"LK","july_2","cotinine",0,"peri_2","august",2,"decentralized","In Season"
"LK","july_2","cotinine",0,"peri_2","august",2,"decentralized","In Season"
"LK","july_2","cotinine",0,"peri_2","august",2,"decentralized","In Season"
"SL","august_2","cotinine",0,"peri_3","september",2,"decentralized","In Season"
"SL","august_2","cotinine",0,"peri_3","september",2,"decentralized","In Season"
"SJ","august_2","cotinine",0,"peri_3","september",2,"decentralized","In Season"
"SJ","august_2","cotinine",0,"peri_3","september",2,"decentralized","In Season"
"SJ","august_2","cotinine",0,"peri_3","september",2,"decentralized","In Season"
"DU","july_2","cotinine",0,"peri_2","august",1,"decentralized","In Season"
"BO","may_1","cotinine",0,NA,"may",24,"decentralized","In Season"
"BO","may_1","cotinine",0,NA,"may",24,"decentralized","In Season"
"DU","july_2","cotinine",0,"peri_2","july",26,"decentralized","In Season"
"DU","july_2","cotinine",0,"peri_2","july",26,"decentralized","In Season"
"BB","june_2","paraxanthine",0.0732542653147073,"peri_1","july",2,"decentralized","In Season"
"BD","june_2","paraxanthine",0.154847151747415,"peri_1","july",2,"decentralized","In Season"
"BO","june_2","paraxanthine",0.0933136795802209,"peri_1","july",2,"decentralized","In Season"
"DA","july_2","paraxanthine",0.362885688772361,"peri_2","august",2,"decentralized","In Season"
"DA","june_2","paraxanthine",0.185377507024978,"peri_1","july",2,"decentralized","In Season"
"HO","july_2","paraxanthine",0.128804822405331,"peri_2","august",2,"centralized","In Season"
"LK","july_2","paraxanthine",0.613095029219965,"peri_2","august",2,"decentralized","In Season"
"SL","july_2","paraxanthine",0.111512956139132,"peri_2","august",2,"decentralized","In Season"
"SJ","july_2","paraxanthine",0.126641551688642,"peri_2","august",2,"decentralized","In Season"
"SJ","june_2","paraxanthine",1.87522504364446,"peri_1","july",2,"decentralized","In Season"
"WS","july_2","paraxanthine",0.417307589963904,"peri_2","august",2,"decentralized","In Season"
"YB","june_2","paraxanthine",0.512138699049574,"peri_1","july",2,"centralized","In Season"
"BB","july_2","paraxanthine",0.091451782046499,"peri_2","august",1,"decentralized","In Season"
"BB","june_2","paraxanthine",0.355463093427517,"peri_1","july",1,"decentralized","In Season"
"BB","may_1","paraxanthine",2.20664909465476,NA,"june",1,"decentralized","In Season"
"BB","august_2","paraxanthine",0.256058496134181,"peri_3","september",1,"decentralized","In Season"
"BD","june_2","paraxanthine",1.28756904868367,"peri_1","july",1,"decentralized","In Season"
"BO","june_2","paraxanthine",0.0743708829639289,"peri_1","july",1,"decentralized","In Season"
"BO","may_1","paraxanthine",0.280328921173786,NA,"june",1,"decentralized","In Season"
"BO","august_2","paraxanthine",0.134635739143208,"peri_3","september",1,"decentralized","In Season"
"DA","july_2","paraxanthine",1.14200953361623,"peri_2","august",1,"decentralized","In Season"
"DA","june_2","paraxanthine",0.0898393960190183,"peri_1","july",1,"decentralized","In Season"
"DA","june_2","paraxanthine",0.495878965085029,"peri_1","july",1,"decentralized","In Season"
"DA","may_1","paraxanthine",0.0746546782702787,NA,"june",1,"decentralized","In Season"
"DA","august_2","paraxanthine",0.24764857791545,"peri_3","september",1,"decentralized","In Season"
"DU","may_1","paraxanthine",0.198390206961236,NA,"june",1,"decentralized","In Season"
"DU","august_2","paraxanthine",0.196888554251524,"peri_3","september",1,"decentralized","In Season"
"FI","june_2","paraxanthine",0.132629696545909,"peri_1","july",1,"decentralized","In Season"
"FI","may_1","paraxanthine",0.501490399652406,NA,"june",1,"decentralized","In Season"
"FI","august_2","paraxanthine",0.0855070767523612,"peri_3","september",1,"decentralized","In Season"
"FLBS","may_1","paraxanthine",0.0742433507780199,NA,"june",1,"centralized","In Season"
"FLBS","august_2","paraxanthine",0.109149675363757,"peri_3","september",1,"centralized","In Season"
"LK","july_2","paraxanthine",0.0823898903660483,"peri_2","august",1,"decentralized","In Season"
"SL","july_2","paraxanthine",0.13222992092958,"peri_2","august",1,"decentralized","In Season"
