"site","month","c12_0","c14_0","iso_c15_0","c15_0","c15_1","c16_0","c16_1w9","c16_1w7c","c16_2","c16_2w6","c17_0","c16_3w3","c18_0","c18_1w9c","c18_1w7c","c18_2w6c","c18_3w6","c19_0","c18_3w3","c18_4w3","c20_0","c20_4w6","c20_4w2","c20_5w3","c22_0","c22_1w9c","c22_6w3","c24_0","c26_0","c28_0"
"WS",8,0.1655,1.167,0.0464,0.2101,0.1921,7.4032,0.6309,5.5376,0.014,0.1799,0.083,0.2723,0.9618,3.5917,0.8859,2.8413,0.2026,43.0922,1.5938,0.344,0.0968,0.1628,0.1628,0.6913,0.2466,"9.8199999999999996E-2",0.0615,0.2069,0.0453,0.0233
"YB",8,0.0964,2.2667,0.0369,0.2301,0.1881,10.9926,0.6487,12.1591,0.037,0.4013,0.0819,0.3471,1.0765,2.5679,0.6562,1.8945,0.395,49.0748,1.6558,0.4116,0.1157,0.3128,0.3128,2.2268,0.1757,"8.5999999999999993E-2",0.115,0.2579,0.0756,0.0458
"BD",9,0.1742,3.6791,0.0639,0.3456,0.3358,19.0086,0.7962,18.123,0.0784,0.8565,0.144,1.3276,1.5785,6.0135,2.029,5.1902,1.1272,56.5539,5.2674,2.4424,0.1871,0.5036,0.5036,6.2168,0.3577,"0.19600000000000001",0.3118,0.4314,0.1108,0.0629
"BO",9,0.0958,0.6759,0.0199,0.0946,0.1045,3.7271,0.2261,4.2412,0.0187,0.0914,0.0419,0.0351,0.6408,1.5323,0.3421,0.8252,0.1755,51.8763,0.3526,0.2453,0.0495,0.0979,0.0979,0.6682,0.0559,"-----",0.0342,0.0529,0.0255,0.0147
"DA",9,0.2723,1.5985,0.0356,0.2065,0.1264,8.2009,0.4634,9.9533,0.0271,0.2437,0.074,0.0934,0.9702,2.6722,1.1564,2.0037,0.2637,50.5616,1.1015,0.5439,0.094,0.2103,0.2001,1.4842,0.1438,"0.1051",0.0682,0.1829,0.0708,0.0355
"FI",9,0.0732,0.7196,0.019,0.1055,0.0915,4.0185,0.1868,4.3478,0.0109,0.1409,0.0408,0.0462,0.6233,1.7663,0.5632,1.4571,0.1541,50.524,0.626,0.3803,0.0693,0.0832,0.0832,0.96,0.0679,"3.78E-2",0.0373,0.1037,0.0222,0.0142
"FLBS",9,1.0708,4.3906,0.1867,1.0733,0.6009,19.9258,2.7907,17.0808,0.0489,0.557,0.353,0.4389,3.341,10.7207,1.6361,5.2829,0.5945,56.4287,2.3586,0.7349,0.2718,0.412,0.412,2.1582,0.4089,"0.64410000000000001",0.1991,0.5953,0.1666,0.0585
"LK",9,0.3721,2.2355,0.0753,0.5663,0.2435,12.2945,1.3256,12.2204,0.0534,0.3089,0.1804,0.4182,1.4197,4.4341,1.2295,3.0918,0.3414,52.0354,2.2919,0.5521,0.1489,0.2522,0.2522,1.905,0.1748,"0.3831",0.1443,0.4307,0.0994,0.0512
"SJ",9,0.1104,1.2269,0.0255,0.154,0.1649,5.4979,0.3321,5.5738,0.0263,0.2165,0.0624,0.1038,0.6624,2.1219,0.7572,2.1713,0.241,51.6983,1.0996,0.5089,0.082,0.1519,0.1519,1.4641,0.1104,"6.7799999999999999E-2",0.0667,0.1187,0.0307,0.0189
"SL",9,0.0674,0.6583,0.0246,0.1194,0.11,4.7894,0.2378,3.8241,0.015,0.1047,0.0531,0.0831,0.7742,1.7213,0.7738,1.4518,0.1143,49.1923,1.1207,0.23,0.0862,0.1033,0.1033,0.6647,0.1047,"7.0599999999999996E-2",0.0271,0.0819,0.0235,0.0158
"WB",9,0.1266,2.9001,0.0315,0.1932,0.1569,13.4513,0.2843,15.8472,0.1252,1.4633,0.0659,0.1526,0.8882,2.5946,0.8004,2.4949,0.4311,51.7046,1.8833,1.0385,0.1058,0.4738,0.4832,8.2551,0.1395,"4.2599999999999999E-2",0.2396,0.1798,0.0631,0.1257
"WF",9,0.1653,1.4791,0.0486,0.2508,0.1045,9.3267,0.6402,9.3689,0.0231,0.2158,0.1016,0.3672,1.2309,3.9101,1.1309,3.1414,0.3545,53.8738,1.9867,0.52,0.4605,0.2652,0.2652,1.4575,0.7056,"0.20119999999999999",0.1155,0.7419,0.4968,0.3844
"WS",9,0.2234,1.7169,0.0497,0.2694,0.2002,9.9298,0.7115,9.5012,0.0174,0.3495,0.1024,0.6405,1.2243,3.8814,1.2299,3.293,0.3595,48.4849,2.578,0.5964,0.1234,0.269,0.269,1.4053,0.1651,"0.16",0.0836,0.1635,0.0386,0.016
"YB",9,0.2198,4.9997,0.0524,0.3302,0.2374,21.7129,0.4564,24.8005,0.206,2.4663,0.1132,0.287,1.4088,3.9022,1.5255,4.5834,0.8126,56.732,3.4489,1.7752,0.1526,0.8604,0.8604,13.5469,0.2488,"9.6000000000000002E-2",0.4506,0.3212,0.1053,0.0714
