"sampling_site","distance_weighted_population"
"DU",436.301152760962
"SJ",447.41798666621
"BO",447.484749456233
"SL",448.273158682086
"FI",543.53564148818
"BB",716.387075837525
"YB",960.216280098809
"FLBS",969.242926836177
"LK",1110.90182745942
"BD",2034.15829944877
"WS",2629.73270050308
"HO",3016.54605127479
"WF",3247.31512497188
"WB",8045.79306604571
"DA",9464.17102501602
